Column,OBJECTI,ParclID,ClassCd,LivUnts,Address,Owner,TotAppr,LndAppr,ImprApp,TtAssss,LndAsss,ImprAss,LndAcrs,OWNERNM,imprvdR,mncpll_,vacant,undr_tl,fnl_scr,ecn_scr,bus_scr,env_scr,grcry_s,job_scr,prks_sc,trn_scr,trnsp_s,vacant2,undr_tl2,fnl_scr2
2320,336940,14 007400080566,R3,1,277 UNIVERSITY AVE SW,AECF ATLANTA HOMES LLC,40200,5900,34300,16080,2360,13720,0.1056,AECF ATLANTA HOMES LLC,0.146766169,1,NA,1,5.444206485,0.47876026,1,0.239130435,1,0.926315789,1,0,0.8,FALSE,TRUE,5
2329,344353,14 008700081080,R3,1,1137 SIMS ST SW,AECF ATLANTA HOMES LLC,136900,28200,108700,54760,11280,43480,0.0918,AECF ATLANTA HOMES LLC,0.205989774,1,NA,1,5.444206485,0.47876026,1,0.239130435,1,0.926315789,1,0,0.8,FALSE,TRUE,5
2406,345125,14 008700091014,R3,1,1174 MC DANIEL ST SW,AECF ATLANTA HOMES LLC,189100,26900,162200,75640,10760,64880,0.0652,AECF ATLANTA HOMES LLC,0.142252776,1,NA,1,5.444206485,0.47876026,1,0.239130435,1,0.926315789,1,0,0.8,FALSE,TRUE,5
2709,343416,14 008700021235,R3,1,976 WELCH ST SW,AECF ATLANTA HOMES LLC,123000,14800,108200,49200,5920,43280,0.1,AECF ATLANTA HOMES LLC,0.120325203,1,NA,1,5.346111114,0.425607681,1,0.282608696,1,0.957894737,1,0,0.68,FALSE,TRUE,5
2120,136230,14 0088  LL0163,I5,NA,352 UNIVERSITY AVE SW,AECF ATLANTA REALTY LLC,4114900,3988500,126400,1645960,1595400,50560,15.954,AECF ATLANTA REALTY LLC,0.969282364,1,NA,1,5.444206485,0.47876026,1,0.239130435,1,0.926315789,1,0,0.8,FALSE,TRUE,5
4461,174954,14 020600060577,R3,1,237 EAST SIMON TER NW,ALPHA ATLANTA COMMUNITY DEVELOPMENT CORP ORATION,45600,6200,39400,18240,2480,15760,0.3169,ALPHA ATLANTA COMMUNITY DEVELOPMENT CORP ORATION,0.135964912,1,NA,1,4.426099482,0.568021679,1,0.239130435,0,0.778947368,1,0,0.84,FALSE,TRUE,4
1148,211618,14 013700040458,R3,1,1402 WESTMONT RD SW,ANDP HOMES LLC,59600,14400,45200,23840,5760,18080,0.1722,ANDP HOMES LLC,0.241610738,1,NA,1,5.900482653,0.559155422,1,0.608695652,1,0.852631579,1,0,0.88,FALSE,TRUE,5
4470,64671,14 010300030269,R3,1,1974 BADER AVE SW,ANDP HOMES LLC,40000,13300,26700,16000,5320,10680,0.225,ANDP HOMES LLC,0.3325,1,NA,1,4.380174337,0.529098823,0,0.217391304,1,0.873684211,1,0,0.76,FALSE,TRUE,4
4496,143795,14 025000050466,R3,1,1927 VALLEY RIDGE DR SW,ANDP HOMES LLC,46400,15000,31400,18560,6000,12560,0.3924,ANDP HOMES LLC,0.323275862,1,NA,1,4.224382718,0.586487981,1,0,0,0.757894737,1,0,0.88,FALSE,TRUE,4
4801,52942,14F006400040202,R3,1,1963 SANDCREEK DR,ANDP HOMES LLC,110600,16300,94300,44240,6520,37720,0.2089,ANDP HOMES LLC,0.147377939,1,NA,1,3.022266194,0.648032784,0,0.717391304,0,0.736842105,0,0,0.92,FALSE,TRUE,3
